Student Number,Age,Unit 11 Spelling Pre,Unit 11 Phonics Pre,Unit 11 Spelling Post,Unit 11 Phonics Post,Unit 12 Spelling Pre,Unit 12 Phonics Pre,Unit 12 Spelling Post,Unit 12 Phonics Post
,,0,100,0,100,0,42,17,42
2,7,17,100,67,100,17,83,83,83
3,7,33,100,0,100,0,33,0,42
4,7,17,100,17,100,0,50,0,75
5,7,67,100,100,100,33,42,67,67
6,7,100,100,Missing,Missing,50,50,100,58
7,7,50,100,100,100,17,42,100,50
8,8,50,100,83,100,50,50,33,58
9,8,100,100,100,100,83,58,83,91
,,83,100,100,100,50,58,33,Missing
11,7,100,100,100,100,83,33,83,Missing
12,7,50,100,50,100,33,25,83,58
13,7,0,100,17,100,0,33,0,25
14,8,0,100,50,100,0,42,0,58
,,83,100,67,100,83,83,100,75
16,7,100,100,100,100,100,75,100,83
17,8,50,100,83,100,83,67,67,91
18,8,100,100,100,100,100,58,100,83
19,8,100,100,100,91,83,58,83,58
