Student Number,Age,Unit 11 Spelling Pre,Unit 11 Phonics Pre,Unit 11 Spelling Post,Unit 11 Phonics Post,Unit 12 Spelling Pre,Unit 12 Phonics Pre,Unit 12 Spelling Post,Unit 12 Phonics Post
1,8,100.00%,91.00%,100.00%,100.00%,100.00%,50.00%,100.00%,67.00%
,,67.00%,100.00%,100.00%,91.00%,33.00%,50.00%,33.00%,67.00%
3,8,83.00%,100.00%,100.00%,100.00%,67.00%,42.00%,67.00%,67.00%
4,7,17.00%,100.00%,100.00%,100.00%,17.00%,100.00%,50.00%,83.00%
5,7,33.00%,100.00%,100.00%,100.00%,50.00%,42.00%,33.00%,67.00%
6,7,33.00%,100.00%,50.00%,100.00%,17.00%,33.00%,17.00%,25.00%
7,8,33.00%,91.00%,0.00%,100.00%,0.00%,67.00%,0.00%,42.00%
8,8,17.00%,91.00%,83.00%,100.00%,33.00%,42.00%,33.00%,33.00%
9,7,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
10,7,17.00%,100.00%,100.00%,100.00%,0.00%,50.00%,50.00%,33.00%
11,7,0.00%,33.00%,17.00%,50.00%,0.00%,33.00%,0.00%,25.00%
12,6,83.00%,100.00%,100.00%,100.00%,83.00%,42.00%,83.00%,42.00%
,,33.00%,50.00%,17.00%,50.00%,0.00%,42.00%,0.00%,33.00%
14,7,0.00%,100.00%,33.00%,100.00%,17.00%,42.00%,33.00%,42.00%
15,8,0.00%,100.00%,33.00%,100.00%,0.00%,58.00%,17.00%,67.00%
16,7,67.00%,100.00%,100.00%,100.00%,0.00%,75.00%,17.00%,67.00%
17,8,83.00%,100.00%,100.00%,100.00%,100.00%,58.00%,Missing,Missing
18,7,50.00%,100.00%,50.00%,100.00%,0.00%,50.00%,0.00%,50.00%
19,8,50.00%,100.00%,100.00%,100.00%,17.00%,42.00%,100.00%,58.00%
