spelling,phonics,phat.f,phat.w,MCSE.w,MCSE.f
-5,-5,1,1,0,0
-4,-5,1,1,0,0
-3,-5,1,1,0,0
-2,-5,1,1,0,0
-1,-5,0.998,0.999,7.067531393633852e-4,9.989994994993746e-4
0,-5,0.957,0.9635,0.004193313129257102,0.004536022486716751
1,-5,0.736,0.7555,0.00961040451802108,0.009856571412007322
2,-5,0.3175,0.345,0.010629557845931316,0.010408980497627998
3,-5,0.0765,0.0855,0.006252589463574272,0.005943389184631947
4,-5,0.0235,0.027,0.0036242930345103167,0.0033873108803297047
5,-5,0.015,0.0175,0.002932042803234632,0.0027179955849853765
-5,-4,1,1,0,0
-4,-4,1,1,0,0
-3,-4,1,1,0,0
-2,-4,1,1,0,0
-1,-4,0.9895,0.99,0.0022248595461287,0.0022792268425937726
0,-4,0.86,0.8725,0.007458007441669657,0.00775886589650833
1,-4,0.4785,0.5065,0.01117939510885987,0.011169998880931009
2,-4,0.145,0.1565,0.008124276890899276,0.007873214083206426
3,-4,0.04,0.045,0.004635461142108733,0.004381780460041329
4,-4,0.0145,0.017,0.002890588175441116,0.0026729898989708138
5,-4,0.021,0.024,0.00342227994179319,0.0032061659345704488
-5,-3,1,1,0,0
-4,-3,1,1,0,0
-3,-3,0.9985,0.999,7.067531393633852e-4,8.653756409790912e-4
-2,-3,0.995,0.996,0.0014113823011501884,0.0015771810295587513
-1,-3,0.912,0.924,0.005925537950262405,0.0063346665263453285
0,-3,0.633,0.6525,0.010647622974166581,0.010777546102893738
1,-3,0.24,0.258,0.009783557635134573,0.009549869109050658
2,-3,0.0565,0.063,0.005432816948876522,0.005162739098579358
3,-3,0.0255,0.029,0.003752265982043384,0.003524893615415932
4,-3,0.027,0.031,0.003875499967746097,0.0036242930345103167
5,-3,0.0715,0.0825,0.006151981388138297,0.005761412587204634
-5,-2,1,1,0,0
-4,-2,0.9995,0.9995,4.99874984371065e-4,4.99874984371065e-4
-3,-2,0.9925,0.993,0.0018642692938521525,0.0019292161620720412
-2,-2,0.938,0.944,0.005141206084179083,0.005392402062161169
-1,-2,0.7085,0.7265,0.00996739058129057,0.010161883437631037
0,-2,0.3295,0.3505,0.010668874120543367,0.010510227162150207
1,-2,0.0885,0.0975,0.006633014020790247,0.0063508956061330436
2,-2,0.0295,0.035,0.004109440351191388,0.003783500363420096
3,-2,0.048,0.056,0.005141206084179081,0.0047799581588126895
4,-2,0.1425,0.157,0.008134832512104966,0.007816449001944554
5,-2,0.301,0.326,0.010481507525160682,0.010256680749638257
